N,AVL Add,BST Add,AVL Add Rotations,AVL Add Height,BST Add Height,AVL Search,BST Search,AVL Save,BST Save,AVL Remove,BST Remove,AVL Remove Rotations
1000.000000,0.000498,0.000550,782.000000,12.000000,28.000000,0.000322,0.000325,0.000237,0.000219,0.000624,0.000522,222.000000
2000.000000,0.001025,0.001121,1490.000000,13.000000,30.000000,0.000761,0.000838,0.000478,0.000480,0.001579,0.001292,416.000000
3000.000000,0.001682,0.001395,2308.000000,14.000000,44.000000,0.000964,0.001020,0.000550,0.000711,0.002394,0.001375,711.000000
4000.000000,0.001651,0.001698,3112.000000,14.000000,53.000000,0.001345,0.001729,0.000684,0.000905,0.002472,0.001847,959.000000
5000.000000,0.002482,0.002145,3850.000000,15.000000,53.000000,0.001719,0.001730,0.000914,0.000909,0.004139,0.003590,1182.000000
6000.000000,0.003628,0.003371,4639.000000,15.000000,53.000000,0.002099,0.002143,0.000852,0.001329,0.005047,0.002979,1368.000000
7000.000000,0.004405,0.003184,5359.000000,15.000000,55.000000,0.002529,0.002533,0.001179,0.001059,0.006340,0.003659,1629.000000
8000.000000,0.004962,0.004142,6104.000000,15.000000,55.000000,0.002985,0.003091,0.001276,0.001488,0.007374,0.004171,1816.000000
9000.000000,0.003963,0.004165,6863.000000,16.000000,55.000000,0.003359,0.003926,0.001199,0.001464,0.008134,0.004926,1943.000000
10000.000000,0.004446,0.004650,7563.000000,16.000000,55.000000,0.003955,0.004030,0.001334,0.001358,0.009482,0.007601,2203.000000
11000.000000,0.005329,0.005225,8296.000000,16.000000,55.000000,0.004317,0.004958,0.001460,0.001465,0.010076,0.006170,2401.000000
12000.000000,0.005466,0.009284,9026.000000,16.000000,55.000000,0.004990,0.005035,0.001903,0.001780,0.011566,0.009070,2678.000000
13000.000000,0.006038,0.006416,9749.000000,16.000000,55.000000,0.005337,0.005654,0.001881,0.001532,0.017752,0.007563,2960.000000
14000.000000,0.009108,0.007238,10480.000000,16.000000,55.000000,0.005836,0.006265,0.002367,0.002270,0.009920,0.008386,3192.000000
15000.000000,0.007033,0.007645,11259.000000,17.000000,55.000000,0.006291,0.006812,0.002160,0.002597,0.013254,0.010603,3392.000000
16000.000000,0.007562,0.008221,12017.000000,17.000000,55.000000,0.006977,0.007525,0.002656,0.002203,0.013652,0.010220,3673.000000
17000.000000,0.008615,0.008647,12726.000000,17.000000,55.000000,0.007897,0.007958,0.002867,0.002979,0.012367,0.013801,3754.000000
18000.000000,0.011743,0.009266,13469.000000,17.000000,55.000000,0.007989,0.008685,0.002908,0.002509,0.015461,0.011572,4178.000000
19000.000000,0.010967,0.009968,14191.000000,17.000000,55.000000,0.008453,0.009126,0.003100,0.002980,0.019599,0.012433,4377.000000
20000.000000,0.009947,0.010562,14993.000000,17.000000,55.000000,0.010516,0.009614,0.003292,0.003690,0.023239,0.013086,4716.000000
21000.000000,0.012313,0.011256,15731.000000,17.000000,55.000000,0.009653,0.010944,0.002793,0.003352,0.019657,0.015877,5043.000000
22000.000000,0.011254,0.011678,16461.000000,17.000000,55.000000,0.009975,0.010835,0.003557,0.004121,0.017362,0.014784,5113.000000
23000.000000,0.011856,0.012456,17252.000000,18.000000,55.000000,0.010614,0.011810,0.003494,0.003279,0.020524,0.015814,5407.000000
24000.000000,0.012637,0.013142,17978.000000,18.000000,55.000000,0.011119,0.013509,0.002811,0.003873,0.019544,0.017892,5558.000000
25000.000000,0.014583,0.013797,18765.000000,18.000000,55.000000,0.011885,0.013585,0.003020,0.003922,0.027024,0.017088,5851.000000
26000.000000,0.013593,0.014420,19516.000000,18.000000,55.000000,0.012134,0.013974,0.003042,0.004106,0.021213,0.018263,6070.000000
27000.000000,0.015679,0.015790,20284.000000,18.000000,55.000000,0.013267,0.019190,0.004225,0.004478,0.023559,0.019164,6275.000000
28000.000000,0.020547,0.019988,21036.000000,18.000000,55.000000,0.014895,0.016346,0.004799,0.004095,0.028165,0.021151,6743.000000
29000.000000,0.016952,0.018279,21727.000000,18.000000,55.000000,0.018115,0.018611,0.004439,0.003895,0.027663,0.021128,6735.000000
30000.000000,0.017220,0.018162,22480.000000,18.000000,55.000000,0.016200,0.023386,0.005513,0.006296,0.030663,0.024690,7300.000000
31000.000000,0.018046,0.018783,23224.000000,18.000000,55.000000,0.018820,0.022387,0.006880,0.005583,0.031196,0.028028,7510.000000
32000.000000,0.019196,0.019772,23964.000000,18.000000,55.000000,0.019111,0.021332,0.005006,0.006166,0.029711,0.025027,7670.000000
33000.000000,0.019393,0.021719,24703.000000,18.000000,55.000000,0.018029,0.021855,0.006555,0.005569,0.029022,0.025473,7954.000000
34000.000000,0.019700,0.020584,25463.000000,18.000000,55.000000,0.017393,0.019405,0.005061,0.005609,0.030152,0.028774,8020.000000
35000.000000,0.023790,0.022261,26212.000000,18.000000,55.000000,0.021850,0.023001,0.004662,0.006074,0.029562,0.028525,8332.000000
36000.000000,0.020667,0.021971,26927.000000,18.000000,55.000000,0.018077,0.020995,0.004638,0.005769,0.035623,0.026594,8643.000000
37000.000000,0.022122,0.022738,27652.000000,18.000000,55.000000,0.018605,0.023029,0.004758,0.006433,0.035192,0.029688,9139.000000
38000.000000,0.023275,0.025386,28433.000000,18.000000,55.000000,0.020689,0.028459,0.005617,0.006501,0.032705,0.030533,9181.000000
39000.000000,0.023277,0.024247,29212.000000,18.000000,55.000000,0.020792,0.038876,0.006233,0.005470,0.034725,0.033213,9307.000000
