N,AVL Add,BST Add,AVL Add Rotations,AVL Add Height,BST Add Height,AVL Search,BST Search,AVL Save,BST Save,AVL Remove,BST Remove,AVL Remove Rotations
5000.000000,0.003327,0.209517,4987.000000,13.000000,5000.000000,0.001480,0.178626,0.000638,0.000733,0.003693,0.240651,515.000000
10000.000000,0.006407,0.935669,9986.000000,14.000000,10000.000000,0.004951,0.799874,0.001365,0.001322,0.012301,1.016156,1045.000000
15000.000000,0.006359,1.964225,14986.000000,14.000000,15000.000000,0.006631,1.780919,0.001902,0.001811,0.021113,2.000365,1689.000000
20000.000000,0.007538,3.263622,19985.000000,15.000000,20000.000000,0.008196,3.205733,0.003250,0.002925,0.016297,3.950627,2205.000000
25000.000000,0.013285,5.487236,24985.000000,15.000000,25000.000000,0.010515,4.854261,0.003417,0.004040,0.022979,5.895459,2871.000000
30000.000000,0.013840,7.970840,29985.000000,15.000000,30000.000000,0.012560,6.968249,0.004522,0.003746,0.023565,8.652851,3465.000000
35000.000000,0.019604,11.145740,34984.000000,16.000000,35000.000000,0.018756,9.844190,0.006070,0.005369,0.034339,11.966451,4037.000000
40000.000000,0.020576,14.125841,39984.000000,16.000000,40000.000000,0.020468,11.991847,0.005286,0.005642,0.039501,15.070751,4716.000000
45000.000000,0.019011,17.708662,44984.000000,16.000000,45000.000000,0.018061,14.150973,0.006071,0.007271,0.049153,18.765015,5595.000000
50000.000000,0.029496,22.365391,49984.000000,16.000000,50000.000000,0.030678,18.949700,0.005266,0.005745,0.038892,23.022454,6362.000000
55000.000000,0.045824,25.979969,54984.000000,16.000000,55000.000000,0.028163,22.200499,0.008301,0.008690,0.058889,27.896102,7236.000000
60000.000000,0.027220,30.606367,59984.000000,16.000000,60000.000000,0.032096,26.311862,0.008941,0.009514,0.066369,32.541228,7874.000000
65000.000000,0.032320,38.437169,64984.000000,16.000000,65000.000000,0.040968,30.581399,0.008465,0.009272,0.061199,35.021825,8759.000000
70000.000000,0.026094,44.224240,69983.000000,17.000000,70000.000000,0.045874,35.884433,0.009064,0.010861,0.088602,42.398471,9475.000000
75000.000000,0.039770,50.870465,74983.000000,17.000000,75000.000000,0.041700,38.130427,0.010143,0.010512,0.088751,50.418353,10343.000000
80000.000000,0.040795,58.198991,79983.000000,17.000000,80000.000000,0.053309,44.838537,0.011379,0.012178,0.088135,59.878479,11344.000000
85000.000000,0.065069,65.996598,84983.000000,17.000000,85000.000000,0.061543,52.203778,0.012453,0.012243,0.100069,62.401331,12121.000000
90000.000000,0.048795,74.004091,89983.000000,17.000000,90000.000000,0.067060,57.206788,0.012254,0.012539,0.135842,71.887587,12999.000000
95000.000000,0.048942,79.840039,94983.000000,17.000000,95000.000000,0.058966,59.669995,0.015821,0.015745,0.112603,70.531205,13978.000000
99997.000000,0.052469,79.608502,99980.000000,17.000000,99997.000000,0.060234,58.798485,0.012974,0.014084,0.094458,73.430101,14844.000000
