N,AVL Add,BST Add,AVL Add Rotations,AVL Add Height,BST Add Height,AVL Search,BST Search,AVL Save,BST Save,AVL Remove,BST Remove,AVL Remove Rotations
5000.000000,0.003094,0.002257,3850.000000,15.000000,53.000000,0.001895,0.001876,0.000613,0.000938,0.003529,0.002429,1174.000000
10000.000000,0.006297,0.007380,7563.000000,16.000000,55.000000,0.005811,0.005077,0.001603,0.001560,0.007344,0.005829,2126.000000
15000.000000,0.009821,0.007730,11259.000000,17.000000,55.000000,0.007955,0.008638,0.003018,0.003372,0.011537,0.011558,3313.000000
20000.000000,0.010423,0.011550,14993.000000,17.000000,55.000000,0.009823,0.011116,0.002790,0.004865,0.016759,0.013868,4512.000000
25000.000000,0.014648,0.014328,18765.000000,18.000000,55.000000,0.012893,0.014902,0.003651,0.005537,0.022583,0.018393,5637.000000
30000.000000,0.020495,0.017620,22480.000000,18.000000,55.000000,0.017619,0.021864,0.004316,0.006184,0.032951,0.022951,6607.000000
35000.000000,0.019985,0.025130,26212.000000,18.000000,55.000000,0.020910,0.022529,0.004386,0.006166,0.035973,0.028325,8029.000000
40000.000000,0.029332,0.032897,29993.000000,19.000000,55.000000,0.024787,0.026752,0.006309,0.007656,0.039997,0.039442,9013.000000
45000.000000,0.028989,0.029444,33945.000000,19.000000,55.000000,0.028706,0.034341,0.007452,0.010385,0.049210,0.039530,10057.000000
50000.000000,0.038071,0.034539,37907.000000,19.000000,55.000000,0.036709,0.046464,0.008722,0.008444,0.048694,0.045499,11124.000000
55000.000000,0.039759,0.045771,41915.000000,19.000000,55.000000,0.037533,0.047324,0.008335,0.010613,0.055244,0.053179,12406.000000
60000.000000,0.039743,0.046801,45757.000000,19.000000,55.000000,0.042363,0.046150,0.008472,0.011318,0.061914,0.059504,13427.000000
65000.000000,0.042843,0.048694,49679.000000,19.000000,55.000000,0.060580,0.065251,0.010090,0.013587,0.081968,0.065601,14541.000000
70000.000000,0.055476,0.066616,53537.000000,19.000000,55.000000,0.078074,0.063649,0.011851,0.012407,0.099122,0.072937,16061.000000
75000.000000,0.063419,0.063392,57447.000000,19.000000,55.000000,0.066421,0.064025,0.010246,0.015902,0.117612,0.122585,16678.000000
80000.000000,0.079261,0.082339,61260.000000,20.000000,56.000000,0.091127,0.146834,0.020301,0.018219,0.089772,0.085524,18133.000000
85000.000000,0.056090,0.059809,65089.000000,20.000000,56.000000,0.070382,0.067328,0.013575,0.013631,0.081198,0.078350,19083.000000
90000.000000,0.059052,0.063240,68932.000000,20.000000,56.000000,0.081358,0.078827,0.012836,0.017751,0.129823,0.103026,20370.000000
95000.000000,0.080393,0.082605,72849.000000,20.000000,65.000000,0.091050,0.089414,0.015234,0.016580,0.149401,0.113903,21418.000000
100000.000000,0.083101,0.102201,76759.000000,20.000000,65.000000,0.089478,0.096002,0.015768,0.018386,0.152306,0.117701,22659.000000
105000.000000,0.080579,0.090982,80631.000000,20.000000,65.000000,0.101507,0.105041,0.016720,0.018088,0.145479,0.160560,23924.000000
110000.000000,0.121580,0.125982,84492.000000,20.000000,65.000000,0.091177,0.118005,0.016916,0.024355,0.152200,0.147848,24877.000000
115000.000000,0.113662,0.138545,88250.000000,20.000000,65.000000,0.191026,0.134191,0.019336,0.019385,0.174641,0.153325,26075.000000
120000.000000,0.080737,0.095377,92116.000000,20.000000,65.000000,0.093739,0.096131,0.015560,0.017305,0.140646,0.119695,27210.000000
125000.000000,0.084458,0.116428,96014.000000,20.000000,65.000000,0.110199,0.126064,0.021662,0.021133,0.174048,0.175695,28526.000000
130000.000000,0.120803,0.135955,100004.000000,20.000000,65.000000,0.115356,0.130134,0.023399,0.022961,0.189794,0.170248,29906.000000
135000.000000,0.126374,0.147193,103977.000000,20.000000,65.000000,0.138223,0.171952,0.037581,0.024272,0.204255,0.191216,30477.000000
140000.000000,0.128175,0.155666,107739.000000,20.000000,65.000000,0.143962,0.190261,0.039942,0.021456,0.171211,0.160057,32251.000000
145000.000000,0.097401,0.149712,111584.000000,20.000000,65.000000,0.127127,0.148282,0.021705,0.024040,0.188382,0.188645,33043.000000
150000.000000,0.130051,0.154352,115522.000000,21.000000,65.000000,0.133022,0.170666,0.037315,0.028148,0.244943,0.203736,34274.000000
155000.000000,0.135093,0.179371,119420.000000,21.000000,65.000000,0.151394,0.232452,0.039012,0.035449,0.260004,0.245787,35236.000000
160000.000000,0.187361,0.127124,123296.000000,21.000000,65.000000,0.122503,0.156754,0.023827,0.025478,0.206578,0.262892,36601.000000
165000.000000,0.177648,0.180084,127181.000000,21.000000,65.000000,0.161319,0.225659,0.037404,0.030784,0.265531,0.245114,37952.000000
170000.000000,0.185103,0.172510,131323.000000,21.000000,65.000000,0.185705,0.255876,0.046837,0.037533,0.232775,0.232501,39168.000000
175000.000000,0.165483,0.181044,135360.000000,21.000000,65.000000,0.175730,0.215386,0.035074,0.035916,0.344304,0.238074,40467.000000
180000.000000,0.230643,0.256643,139364.000000,21.000000,65.000000,0.277049,0.298304,0.029264,0.035157,0.257991,0.302738,41556.000000
